wordId,word,articleId,articleContent,exampleThai,exampleChinese,,,,
33,ชีวิต,5,"เรื่องราวของ ‘ซองแดงแต่งผี’ (The Red Envelope) ไม่ใช่เพียงแค่หนังตลก แต่เป็นหนังชีวิตที่ชวนให้ทุกคนเข้าใจและใจกว้างต่อคน ‘ทุกเพศ’ โดยเฉพาะในบริบทของสังคมไทยที่มีการเหยียดเชื้อชาติและเพศสภาพ

หนังเล่าถึงชีวิตของ ‘ตี่ตี๋’ (พีพี กฤษฏ์) ผีเกย์ที่ต้องการความรักและการยอมรับในขณะที่เขายังมีชีวิตอยู่ และความสัมพันธ์ของเขากับ ‘เม่น’ (บิวกิ้น พุฒิพงศ์) ชายแท้ที่ต้องเรียนรู้และเปิดใจต่อความหลากหลายทางเพศ

การที่คนเราจะอยู่ร่วมกันนั้นง่ายมาก หากเรามีความเห็นอกเห็นใจกัน และพร้อมที่จะ ‘รับฟัง’ กัน ที่สำคัญคือการตระหนักถึงความรู้สึกของคนรอบข้างในขณะที่เรายังมีชีวิตอยู่

ซองแดงแต่งผีจึงเป็นหนังที่สะท้อนให้เห็นถึงความสำคัญของการเข้าใจและยอมรับได้ทุกความแตกต่างในสังคม",ไม่ใช่เพียงแค่หนังตลก แต่เป็นหนังชีวิตที่ชวนให้ทุกคนเข้าใจและใจกว้างต่อคน ‘ทุกเพศ’,這不僅僅是一部喜劇，而是一部生活電影，邀請每個人理解「所有性別」的人並對他們持開放的態度。,,,,
34,ความรัก,5,"เรื่องราวของ ‘ซองแดงแต่งผี’ (The Red Envelope) ไม่ใช่เพียงแค่หนังตลก แต่เป็นหนังชีวิตที่ชวนให้ทุกคนเข้าใจและใจกว้างต่อคน ‘ทุกเพศ’ โดยเฉพาะในบริบทของสังคมไทยที่มีการเหยียดเชื้อชาติและเพศสภาพ

หนังเล่าถึงชีวิตของ ‘ตี่ตี๋’ (พีพี กฤษฏ์) ผีเกย์ที่ต้องการความรักและการยอมรับในขณะที่เขายังมีชีวิตอยู่ และความสัมพันธ์ของเขากับ ‘เม่น’ (บิวกิ้น พุฒิพงศ์) ชายแท้ที่ต้องเรียนรู้และเปิดใจต่อความหลากหลายทางเพศ

การที่คนเราจะอยู่ร่วมกันนั้นง่ายมาก หากเรามีความเห็นอกเห็นใจกัน และพร้อมที่จะ ‘รับฟัง’ กัน ที่สำคัญคือการตระหนักถึงความรู้สึกของคนรอบข้างในขณะที่เรายังมีชีวิตอยู่

ซองแดงแต่งผีจึงเป็นหนังที่สะท้อนให้เห็นถึงความสำคัญของการเข้าใจและยอมรับได้ทุกความแตกต่างในสังคม",ผีเกย์ที่ต้องการความรักและการยอมรับในขณะที่เขายังมีชีวิตอยู่,一個同性戀鬼魂，希望在活著的時候得到愛和接受。,,,,
35,หลากหลาย,5,"เรื่องราวของ ‘ซองแดงแต่งผี’ (The Red Envelope) ไม่ใช่เพียงแค่หนังตลก แต่เป็นหนังชีวิตที่ชวนให้ทุกคนเข้าใจและใจกว้างต่อคน ‘ทุกเพศ’ โดยเฉพาะในบริบทของสังคมไทยที่มีการเหยียดเชื้อชาติและเพศสภาพ

หนังเล่าถึงชีวิตของ ‘ตี่ตี๋’ (พีพี กฤษฏ์) ผีเกย์ที่ต้องการความรักและการยอมรับในขณะที่เขายังมีชีวิตอยู่ และความสัมพันธ์ของเขากับ ‘เม่น’ (บิวกิ้น พุฒิพงศ์) ชายแท้ที่ต้องเรียนรู้และเปิดใจต่อความหลากหลายทางเพศ

การที่คนเราจะอยู่ร่วมกันนั้นง่ายมาก หากเรามีความเห็นอกเห็นใจกัน และพร้อมที่จะ ‘รับฟัง’ กัน ที่สำคัญคือการตระหนักถึงความรู้สึกของคนรอบข้างในขณะที่เรายังมีชีวิตอยู่

ซองแดงแต่งผีจึงเป็นหนังที่สะท้อนให้เห็นถึงความสำคัญของการเข้าใจและยอมรับได้ทุกความแตกต่างในสังคม",ชายแท้ที่ต้องเรียนรู้และเปิดใจต่อความหลากหลายทางเพศ การที่คนเราจะอยู่ร่วมกันนั้นง่ายมาก,真正的男人必須學習性的多樣性並敞開心扉。人們住在一起是很容易的。,,,,
36,รับฟัง,5,"เรื่องราวของ ‘ซองแดงแต่งผี’ (The Red Envelope) ไม่ใช่เพียงแค่หนังตลก แต่เป็นหนังชีวิตที่ชวนให้ทุกคนเข้าใจและใจกว้างต่อคน ‘ทุกเพศ’ โดยเฉพาะในบริบทของสังคมไทยที่มีการเหยียดเชื้อชาติและเพศสภาพ

หนังเล่าถึงชีวิตของ ‘ตี่ตี๋’ (พีพี กฤษฏ์) ผีเกย์ที่ต้องการความรักและการยอมรับในขณะที่เขายังมีชีวิตอยู่ และความสัมพันธ์ของเขากับ ‘เม่น’ (บิวกิ้น พุฒิพงศ์) ชายแท้ที่ต้องเรียนรู้และเปิดใจต่อความหลากหลายทางเพศ

การที่คนเราจะอยู่ร่วมกันนั้นง่ายมาก หากเรามีความเห็นอกเห็นใจกัน และพร้อมที่จะ ‘รับฟัง’ กัน ที่สำคัญคือการตระหนักถึงความรู้สึกของคนรอบข้างในขณะที่เรายังมีชีวิตอยู่

ซองแดงแต่งผีจึงเป็นหนังที่สะท้อนให้เห็นถึงความสำคัญของการเข้าใจและยอมรับได้ทุกความแตกต่างในสังคม",และพร้อมที่จะ ‘รับฟัง’ กัน,並準備好互相“傾聽”,,,,
37,เข้าใจ,5,"เรื่องราวของ ‘ซองแดงแต่งผี’ (The Red Envelope) ไม่ใช่เพียงแค่หนังตลก แต่เป็นหนังชีวิตที่ชวนให้ทุกคนเข้าใจและใจกว้างต่อคน ‘ทุกเพศ’ โดยเฉพาะในบริบทของสังคมไทยที่มีการเหยียดเชื้อชาติและเพศสภาพ

หนังเล่าถึงชีวิตของ ‘ตี่ตี๋’ (พีพี กฤษฏ์) ผีเกย์ที่ต้องการความรักและการยอมรับในขณะที่เขายังมีชีวิตอยู่ และความสัมพันธ์ของเขากับ ‘เม่น’ (บิวกิ้น พุฒิพงศ์) ชายแท้ที่ต้องเรียนรู้และเปิดใจต่อความหลากหลายทางเพศ

การที่คนเราจะอยู่ร่วมกันนั้นง่ายมาก หากเรามีความเห็นอกเห็นใจกัน และพร้อมที่จะ ‘รับฟัง’ กัน ที่สำคัญคือการตระหนักถึงความรู้สึกของคนรอบข้างในขณะที่เรายังมีชีวิตอยู่

ซองแดงแต่งผีจึงเป็นหนังที่สะท้อนให้เห็นถึงความสำคัญของการเข้าใจและยอมรับได้ทุกความแตกต่างในสังคม",ไม่ใช่เพียงแค่หนังตลก แต่เป็นหนังชีวิตที่ชวนให้ทุกคนเข้าใจและใจกว้างต่อคน ‘ทุกเพศ’,這不僅僅是一部喜劇，而是一部生活電影，邀請每個人理解「所有性別」的人並對他們持開放的態度。,,,,
38,ยอมรับ,5,"เรื่องราวของ ‘ซองแดงแต่งผี’ (The Red Envelope) ไม่ใช่เพียงแค่หนังตลก แต่เป็นหนังชีวิตที่ชวนให้ทุกคนเข้าใจและใจกว้างต่อคน ‘ทุกเพศ’ โดยเฉพาะในบริบทของสังคมไทยที่มีการเหยียดเชื้อชาติและเพศสภาพ

หนังเล่าถึงชีวิตของ ‘ตี่ตี๋’ (พีพี กฤษฏ์) ผีเกย์ที่ต้องการความรักและการยอมรับในขณะที่เขายังมีชีวิตอยู่ และความสัมพันธ์ของเขากับ ‘เม่น’ (บิวกิ้น พุฒิพงศ์) ชายแท้ที่ต้องเรียนรู้และเปิดใจต่อความหลากหลายทางเพศ

การที่คนเราจะอยู่ร่วมกันนั้นง่ายมาก หากเรามีความเห็นอกเห็นใจกัน และพร้อมที่จะ ‘รับฟัง’ กัน ที่สำคัญคือการตระหนักถึงความรู้สึกของคนรอบข้างในขณะที่เรายังมีชีวิตอยู่

ซองแดงแต่งผีจึงเป็นหนังที่สะท้อนให้เห็นถึงความสำคัญของการเข้าใจและยอมรับได้ทุกความแตกต่างในสังคม",ผีเกย์ที่ต้องการความรักและการยอมรับในขณะที่เขายังมีชีวิตอยู่,一個同性戀鬼魂，希望在活著的時候得到愛和接受。,,,,
39,เธอ,6,"ฉันจะไปหาเธอ คนที่สองจากไหน 
มันไม่มี (เธอมีคนเดียวบนโลก)
ถามว่ามีใครสักคน มาแทนที่เธอได้ไหม มันไม่มี

เจ็ดพันกว่าล้านคนบนโลก 
มีแค่คนเดียวเท่านั้น
ที่ทำให้ใจ อบอุ่นแค่ไหน 
แค่เธอเท่านั้น
ไม่คิดว่าฉันนั้นจะ
โชคดีเท่านี้เพราะเธอนั้น
คือคนที่คิดว่าในชีวิต 
คงไม่เจอแล้วมั้ง
กี่ครั้งที่เคยได้อ้อมกอด กี่คำว่ารัก ใครพร่ำบอก
ไม่มีความหมาย ถ้าไม่ได้มาจากเธอ
ไม่รู้ว่าอีกนานเท่าไร ก่อนโลกจะแตกสลายไป
รู้เพียงอย่างเดียว ฉันเสียเธอไม่ได้

เพราะฉันจะไปหาเธอ คนที่สองจากไหน 
มันไม่มี (เธอมีคนเดียวบนโลก)
ถามว่ามีใครสักคน มาแทนที่เธอได้ไหม มันไม่มี
ถ้าไม่ใช่เธอ ก็ไม่ให้ใครเลย

คงไม่มีวันที่ฉันจะมี รักครั้งใหม่ ได้เลย
ฉันจินตนาการไม่ออก ได้แต่ภาวนาให้วันเวลา 
ที่ฉันและเธอ นั้นมี มันนานจนเกินกว่าบอกได้ว่าเมื่อไหร่

ฉันจะไปหาเธอคนที่สองจากไหน 
มันไม่มี (เธอมีคนเดียวบนโลก)
ถามว่ามีใครสักคนมาแทนที่เธอได้ไหม มันไม่มี
เพราะมันไม่มีเธอ คนที่สองเข้าใจไหม 
มันไม่มี เธอดีที่สุดในโลก
ถามว่ามีใครสักคน มาแทนที่เธอได้ไหม 
มันไม่มี เพราะที่ตรงนี้ มีให้เธอคนเดียว

เธอคนเดียวเท่านั้น",ฉันจะไปหาเธอ คนที่สองจากไหน,我要去哪裡找你，第二個？,,,,
40,คนเดียว,6,"ฉันจะไปหาเธอ คนที่สองจากไหน 
มันไม่มี (เธอมีคนเดียวบนโลก)
ถามว่ามีใครสักคน มาแทนที่เธอได้ไหม มันไม่มี

เจ็ดพันกว่าล้านคนบนโลก 
มีแค่คนเดียวเท่านั้น
ที่ทำให้ใจ อบอุ่นแค่ไหน 
แค่เธอเท่านั้น
ไม่คิดว่าฉันนั้นจะ
โชคดีเท่านี้เพราะเธอนั้น
คือคนที่คิดว่าในชีวิต 
คงไม่เจอแล้วมั้ง
กี่ครั้งที่เคยได้อ้อมกอด กี่คำว่ารัก ใครพร่ำบอก
ไม่มีความหมาย ถ้าไม่ได้มาจากเธอ
ไม่รู้ว่าอีกนานเท่าไร ก่อนโลกจะแตกสลายไป
รู้เพียงอย่างเดียว ฉันเสียเธอไม่ได้

เพราะฉันจะไปหาเธอ คนที่สองจากไหน 
มันไม่มี (เธอมีคนเดียวบนโลก)
ถามว่ามีใครสักคน มาแทนที่เธอได้ไหม มันไม่มี
ถ้าไม่ใช่เธอ ก็ไม่ให้ใครเลย

คงไม่มีวันที่ฉันจะมี รักครั้งใหม่ ได้เลย
ฉันจินตนาการไม่ออก ได้แต่ภาวนาให้วันเวลา 
ที่ฉันและเธอ นั้นมี มันนานจนเกินกว่าบอกได้ว่าเมื่อไหร่

ฉันจะไปหาเธอคนที่สองจากไหน 
มันไม่มี (เธอมีคนเดียวบนโลก)
ถามว่ามีใครสักคนมาแทนที่เธอได้ไหม มันไม่มี
เพราะมันไม่มีเธอ คนที่สองเข้าใจไหม 
มันไม่มี เธอดีที่สุดในโลก
ถามว่ามีใครสักคน มาแทนที่เธอได้ไหม 
มันไม่มี เพราะที่ตรงนี้ มีให้เธอคนเดียว

เธอคนเดียวเท่านั้น",มันไม่มี (เธอมีคนเดียวบนโลก) ถามว่ามีใครสักคน,沒有一個。 （世界上只有你一個人。） 問有沒有人。,,,,
41,รัก,6,"ฉันจะไปหาเธอ คนที่สองจากไหน 
มันไม่มี (เธอมีคนเดียวบนโลก)
ถามว่ามีใครสักคน มาแทนที่เธอได้ไหม มันไม่มี

เจ็ดพันกว่าล้านคนบนโลก 
มีแค่คนเดียวเท่านั้น
ที่ทำให้ใจ อบอุ่นแค่ไหน 
แค่เธอเท่านั้น
ไม่คิดว่าฉันนั้นจะ
โชคดีเท่านี้เพราะเธอนั้น
คือคนที่คิดว่าในชีวิต 
คงไม่เจอแล้วมั้ง
กี่ครั้งที่เคยได้อ้อมกอด กี่คำว่ารัก ใครพร่ำบอก
ไม่มีความหมาย ถ้าไม่ได้มาจากเธอ
ไม่รู้ว่าอีกนานเท่าไร ก่อนโลกจะแตกสลายไป
รู้เพียงอย่างเดียว ฉันเสียเธอไม่ได้

เพราะฉันจะไปหาเธอ คนที่สองจากไหน 
มันไม่มี (เธอมีคนเดียวบนโลก)
ถามว่ามีใครสักคน มาแทนที่เธอได้ไหม มันไม่มี
ถ้าไม่ใช่เธอ ก็ไม่ให้ใครเลย

คงไม่มีวันที่ฉันจะมี รักครั้งใหม่ ได้เลย
ฉันจินตนาการไม่ออก ได้แต่ภาวนาให้วันเวลา 
ที่ฉันและเธอ นั้นมี มันนานจนเกินกว่าบอกได้ว่าเมื่อไหร่

ฉันจะไปหาเธอคนที่สองจากไหน 
มันไม่มี (เธอมีคนเดียวบนโลก)
ถามว่ามีใครสักคนมาแทนที่เธอได้ไหม มันไม่มี
เพราะมันไม่มีเธอ คนที่สองเข้าใจไหม 
มันไม่มี เธอดีที่สุดในโลก
ถามว่ามีใครสักคน มาแทนที่เธอได้ไหม 
มันไม่มี เพราะที่ตรงนี้ มีให้เธอคนเดียว

เธอคนเดียวเท่านั้น",กี่ครั้งที่เคยได้อ้อมกอด กี่คำว่ารัก ใครพร่ำบอก,你被擁抱過幾次？你對我說過多少情話？,,,,
42,ความหมาย,6,"ฉันจะไปหาเธอ คนที่สองจากไหน 
มันไม่มี (เธอมีคนเดียวบนโลก)
ถามว่ามีใครสักคน มาแทนที่เธอได้ไหม มันไม่มี

เจ็ดพันกว่าล้านคนบนโลก 
มีแค่คนเดียวเท่านั้น
ที่ทำให้ใจ อบอุ่นแค่ไหน 
แค่เธอเท่านั้น
ไม่คิดว่าฉันนั้นจะ
โชคดีเท่านี้เพราะเธอนั้น
คือคนที่คิดว่าในชีวิต 
คงไม่เจอแล้วมั้ง
กี่ครั้งที่เคยได้อ้อมกอด กี่คำว่ารัก ใครพร่ำบอก
ไม่มีความหมาย ถ้าไม่ได้มาจากเธอ
ไม่รู้ว่าอีกนานเท่าไร ก่อนโลกจะแตกสลายไป
รู้เพียงอย่างเดียว ฉันเสียเธอไม่ได้

เพราะฉันจะไปหาเธอ คนที่สองจากไหน 
มันไม่มี (เธอมีคนเดียวบนโลก)
ถามว่ามีใครสักคน มาแทนที่เธอได้ไหม มันไม่มี
ถ้าไม่ใช่เธอ ก็ไม่ให้ใครเลย

คงไม่มีวันที่ฉันจะมี รักครั้งใหม่ ได้เลย
ฉันจินตนาการไม่ออก ได้แต่ภาวนาให้วันเวลา 
ที่ฉันและเธอ นั้นมี มันนานจนเกินกว่าบอกได้ว่าเมื่อไหร่

ฉันจะไปหาเธอคนที่สองจากไหน 
มันไม่มี (เธอมีคนเดียวบนโลก)
ถามว่ามีใครสักคนมาแทนที่เธอได้ไหม มันไม่มี
เพราะมันไม่มีเธอ คนที่สองเข้าใจไหม 
มันไม่มี เธอดีที่สุดในโลก
ถามว่ามีใครสักคน มาแทนที่เธอได้ไหม 
มันไม่มี เพราะที่ตรงนี้ มีให้เธอคนเดียว

เธอคนเดียวเท่านั้น",ใครพร่ำบอก ไม่มีความหมาย ถ้าไม่ได้มาจากเธอ,誰說的都沒有意義 如果不是你說的,,,,
43,ใจ,6,"ฉันจะไปหาเธอ คนที่สองจากไหน 
มันไม่มี (เธอมีคนเดียวบนโลก)
ถามว่ามีใครสักคน มาแทนที่เธอได้ไหม มันไม่มี

เจ็ดพันกว่าล้านคนบนโลก 
มีแค่คนเดียวเท่านั้น
ที่ทำให้ใจ อบอุ่นแค่ไหน 
แค่เธอเท่านั้น
ไม่คิดว่าฉันนั้นจะ
โชคดีเท่านี้เพราะเธอนั้น
คือคนที่คิดว่าในชีวิต 
คงไม่เจอแล้วมั้ง
กี่ครั้งที่เคยได้อ้อมกอด กี่คำว่ารัก ใครพร่ำบอก
ไม่มีความหมาย ถ้าไม่ได้มาจากเธอ
ไม่รู้ว่าอีกนานเท่าไร ก่อนโลกจะแตกสลายไป
รู้เพียงอย่างเดียว ฉันเสียเธอไม่ได้

เพราะฉันจะไปหาเธอ คนที่สองจากไหน 
มันไม่มี (เธอมีคนเดียวบนโลก)
ถามว่ามีใครสักคน มาแทนที่เธอได้ไหม มันไม่มี
ถ้าไม่ใช่เธอ ก็ไม่ให้ใครเลย

คงไม่มีวันที่ฉันจะมี รักครั้งใหม่ ได้เลย
ฉันจินตนาการไม่ออก ได้แต่ภาวนาให้วันเวลา 
ที่ฉันและเธอ นั้นมี มันนานจนเกินกว่าบอกได้ว่าเมื่อไหร่

ฉันจะไปหาเธอคนที่สองจากไหน 
มันไม่มี (เธอมีคนเดียวบนโลก)
ถามว่ามีใครสักคนมาแทนที่เธอได้ไหม มันไม่มี
เพราะมันไม่มีเธอ คนที่สองเข้าใจไหม 
มันไม่มี เธอดีที่สุดในโลก
ถามว่ามีใครสักคน มาแทนที่เธอได้ไหม 
มันไม่มี เพราะที่ตรงนี้ มีให้เธอคนเดียว

เธอคนเดียวเท่านั้น",มีแค่คนเดียวเท่านั้น ที่ทำให้ใจ อบอุ่นแค่ไหน,只有一個人，能讓我的心感到最溫暖。,,,,
