wordId,articleId,exampleThai,exampleChinese
41,6,กี่ครั้งที่เคยได้อ้อมกอด กี่คำว่ารัก ใครพร่ำบอก,你被擁抱過幾次？你對我說過多少情話？
42,6,ใครพร่ำบอก ไม่มีความหมาย ถ้าไม่ได้มาจากเธอ,誰說的都沒有意義 如果不是你說的
43,6,มีแค่คนเดียวเท่านั้น ที่ทำให้ใจ อบอุ่นแค่ไหน,只有一個人，能讓我的心感到最溫暖。
44,6,รู้เพียงอย่างเดียว ฉันเสียเธอไม่ได้ เพราะฉันจะไปหาเธอ,我只知道我不能失去你。因為我要去找你。
45,6,มันไม่มี (เธอมีคนเดียวบนโลก) ถามว่ามีใครสักคน,沒有一個。 （世界上只有你一個人。） 問有沒有人。
46,6,ถ้าไม่ได้มาจากเธอ ไม่รู้ว่าอีกนานเท่าไร ก่อนโลกจะแตกสลายไป,如果不是你，我不知道還要等多久。在世界崩壞之前
47,6,ถามว่ามีใครสักคน มาแทนที่เธอได้ไหม มันไม่มี,請問有人可以代替你嗎？沒有一個。
48,6,ไม่คิดว่าฉันนั้นจะ โชคดีเท่านี้เพราะเธอนั้น คือคนที่คิดว่าในชีวิต,我想我不會。我因為她而如此幸運。是一個會思考生活的人
49,7,สำนักวาติกันประกาศว่า สมเด็จพระสันตะปาปาฟรานซิส สิ้นพระชนม์เมื่อเวลา,梵蒂岡宣布教宗方濟各當時去世
50,7,สำนักวาติกันประกาศว่า สมเด็จพระสันตะปาปาฟรานซิส สิ้นพระชนม์เมื่อเวลา,梵蒂岡宣布教宗方濟各當時去世
51,7,พระองค์เป็นผู้ริเริ่มการปฏิรูปศาสนจักรคาทอลิกและได้รับความนิยมจากชาวคาทอลิกฝ่ายอนุรักษนิยม สมเด็จพระสันตะปาปาฟรานซิสเป็นโป๊ปพระองค์แรกจากอเมริกาและชาวซีกโลกใต้,他發起了天主教會的宗教改革，受到保守派天主教徒的歡迎。教宗方濟各是第一位來自美洲和南半球的教宗。
52,7,พระองค์เป็นผู้ริเริ่มการปฏิรูปศาสนจักรคาทอลิกและได้รับความนิยมจากชาวคาทอลิกฝ่ายอนุรักษนิยม สมเด็จพระสันตะปาปาฟรานซิสเป็นโป๊ปพระองค์แรกจากอเมริกาและชาวซีกโลกใต้,他發起了天主教會的宗教改革，受到保守派天主教徒的歡迎。教宗方濟各是第一位來自美洲和南半球的教宗。
53,7,สมเด็จพระสันตะปาปาฟรานซิสเป็นโป๊ปพระองค์แรกจากอเมริกาและชาวซีกโลกใต้ นอกจากนี้ยังเป็นนักบวชคณะเยซูอิตคนแรกที่ขึ้นครองบัลลังก์ของนักบุญปีเตอร์ พระองค์ดำรงตำแหน่งต่อจากสมเด็จพระสันตะปาปาเบเนดิกต์ที่,教宗方濟各是第一位來自美洲和南半球的教宗。他也是第一位登上聖彼得寶座的耶穌會士。他繼教宗本篤二世之後擔任這一職位。
54,7,สมเด็จพระสันตะปาปาฟรานซิสเป็นโป๊ปพระองค์แรกจากอเมริกาและชาวซีกโลกใต้ นอกจากนี้ยังเป็นนักบวชคณะเยซูอิตคนแรกที่ขึ้นครองบัลลังก์ของนักบุญปีเตอร์ พระองค์ดำรงตำแหน่งต่อจากสมเด็จพระสันตะปาปาเบเนดิกต์ที่,教宗方濟各是第一位來自美洲和南半球的教宗。他也是第一位登上聖彼得寶座的耶穌會士。他繼教宗本篤二世之後擔任這一職位。
55,7,16 ซึ่งสละตำแหน่งทำให้มีโป๊ปสองพระองค์ในนครรัฐวาติกันเป็นเวลานานเกือบสิบปี,16日，他辭職，留下兩位教宗在梵蒂岡待了近十年。
56,7,สมเด็จพระสันตะปาปาฟรานซิส สิ้นพระชนม์เมื่อเวลา 7.35,教宗方濟各於 7.35 去世。
57,7,ตามเวลาท้องถิ่น หลังจากปรากฏตัวที่จัตุรัสเซนต์ปีเตอร์เพื่ออวยพรวันอีสเตอร์แก่ผู้มาสักการะเมื่อวานนี้ (20,當地時間昨天（20日）出現在聖彼得廣場向信徒許下復活節願望後
85,38,แต่ก็ส่งสัญญาณชัดเจนถึงความพยายามขยายธุรกิจครั้งสำคัญ และอาจจุดชนวนการแข่งขันโดยตรงกับแพลตฟอร์มยักษ์ใหญ่อย่าง X,但這清楚地表明了一項重大的擴張努力。它也可能引發與 X 這樣的巨頭平台的直接競爭。
108,14,ถ้าเธอไม่มีฉันแล้วอยู่ได้ไหม คำถามมากมายที่อยากให้เธอนั้นตอบ​​​ ได้ยินมันบ้างไหม,如果沒有我，你還能活下去嗎？我有很多問題需要你回答。你聽過嗎？
109,14,ได้ยินมันบ้างไหม ใจเต็มไปด้วยคำถาม แต่ไม่มีเธอรับฟังอยู่อีกแล้ว​,你聽過嗎？我的腦子裡充滿了疑問。但她不再聽了。
110,14,เหมือนตอนที่เธอและฉันเคยเคียงข้างกัน ไม่มีทางที่ฉันจะลืม​​​​​ทั้งเรื่องร้าย ๆ,就像你和我肩並肩的時候一樣。我不可能忘記所有不好的事情。
111,14,ที่ทำให้รู้ว่า​​​​ช่วงเวลาเหล่านั้น มันช่างสวยงาม กี่คำถาม,這讓我們知道，那個時候是多麼美好。有多少個問題？
112,14,เรื่องราวมากมายยังอยู่ในใจที่เจ็บ​​​ เมื่อเก็บความรักไว้ ใจเต็มไปด้วยคำถาม,心裡還有很多傷人的故事。當你保留你的愛時我的腦海裡充滿了疑問。
113,14,ที่มันยังคาในใจ​​​​ เธอรู้ไหมมันทรมานแค่ไหน เพราะคำตอบ,那句話至今仍在我心裡揮之不去，你知道因為這個答案我承受了多少痛苦嗎？
113,36,เขามีแค่เธอยามตื่นและฝัน ทรมานเหลือเกิน เมื่อไรจะวันนั้น,他只有在醒著和做夢的時候才能擁有你。這麼多的苦難，什麼時候才能有這一天呢？
114,14,แต่ไม่มีเธอรับฟังอยู่อีกแล้ว​ เหมือนตอนที่เธอและฉันเคยเคียงข้างกัน ไม่มีทางที่ฉันจะลืม​​​​​ทั้งเรื่องร้าย,但她不再聽了。就像你和我肩並肩的時候一樣。我永遠不會忘記那些糟糕的事。
115,15,วันนี้ในปีที่เราได้ใช้ชีวิตด้วยกัน เธอจำได้ไหมอะไรที่เราเคยผ่าน,我們一起度過的這一年的今天，你還記得我們經歷了什麼嗎？
116,15,ยิ้มและหัวเราะด้วยกัน ทะเลาะกันบางครั้ง แต่มันก็ดีเธอว่าไหม,一起微笑，一起大笑。他們有時會爭吵。但這很好，你不覺得嗎？
117,15,จะเป็นยังไงถ้าฉันไม่ทำเหมือนเก่า เราจะยังรักกันหรือเปล่า ถ้าไม่ปล่อยมือกัน,如果我不像以前那樣做怎麼辦？我們還會彼此相愛嗎？如果我們不放開彼此的手
118,15,ชีวิตเธอเป็นไง คิดถึงกันบ้างไหม ส่วนฉันก็คิดถึงเธออยู่ซ้ำๆ,你的生活怎麼樣？你們想念彼此嗎？至於我，我一直在想你。
118,36,ได้แค่รอและรอวันที่ดอกไม้จะบานอีกครั้ง มีคนคิดถึงเธอ แล้วเธอรู้สึกได้หรือเปล่า,就這樣等待吧，等待花再次綻放的那一天。有人想念你。你能感覺到嗎？
119,15,รู้บ้างไหมว่าฉันคิดอยู่เสมอ ถ้ามีโอกาสได้รักเธอใหม่ จะกอดเธอเอาไว้,你知道我一直在想嗎？如果有機會再愛你一次，我會擁抱你。
120,15,แต่มันก็ดีเธอว่าไหม จะเป็นยังไงถ้าฉันไม่ทำเหมือนเก่า เราจะยังรักกันหรือเปล่า,但這很好，你不覺得嗎？如果我不像以前那樣做怎麼辦？我們還會彼此相愛嗎？
121,15,เธอสบายดีไหม เป็นคำถามที่ยังคงวนอยู่ซ้ำๆ อยากรู้แค่เพียงเธออยู่ตรงนั้น,她還好嗎？這是一個不斷重複的問題。我只是想知道你在那裡。
122,15,ในวันที่ไม่มีเรา ยังมีทุกความทรงจำ แค่เพียงได้คิดถึง,沒有我們的日子 依然有所有的記憶 只是想想
123,15,ส่วนฉันก็คิดถึงเธออยู่ซ้ำๆ ก็หวังแค่เพียงเธออยู่ตรงนั้น จะสุขใจกว่าฉัน,至於我，我一直在想你。我只是希望你在那裡。會比我幸福
124,15,ก็หวังแค่เพียงเธออยู่ตรงนั้น จะสุขใจกว่าฉัน อยากให้เธอยิ้มได้เหมือนเก่า,我只是希望你在那裡。會比我幸福 我希望你能像以前一樣微笑。
125,15,เธอจำได้ไหมอะไรที่เราเคยผ่าน ยิ้มและหัวเราะด้วยกัน ทะเลาะกันบางครั้ง,你還記得我們經歷了什麼嗎？一起微笑，一起大笑。他們有時會爭吵。
126,15,เธอสบายดีไหม เป็นคำถามที่ยังคงวนอยู่ซ้ำๆ อยากรู้แค่เพียงเธออยู่ตรงนั้น,她還好嗎？這是一個不斷重複的問題。我只是想知道你在那裡。
127,15,เธอกับฉันวันนี้จะเป็นอย่างไร รักแรกมันลืมยาก ฉันคงลืมยาก,今天你我會是什麼樣子？初戀是很難忘記的。我會很難忘記它。
128,15,แม้จะนานเท่าไร ไม่มีวันที่จะจางหาย เธอสบายดีไหม,無論多久，都不會有一天消失。你還好嗎？
172,19,ไม่ใช่เพราะฉันเองอยากมีคนสบตา อิจฉาใครที่เขารักกัน,這並不是因為我自己希望有人進行目光接觸。嫉妒他所愛的人。
173,19,ไม่ใช่เพราะฉันเองอยากมีคนสบตา อิจฉาใครที่เขารักกัน รักแล้วทำไมไม่ค่อยเป็นตัวเองแบบนั้น,這並不是因為我自己希望有人進行目光接觸。嫉妒他所愛的人。如果你愛它，你自己為什麼不呢？
174,19,ออกจะไม่เข้าใจด้วยซ้ำไป แต่เหมือนว่าเธอนั้นทำบางอย่างกับหัวใจ ทำให้ฉันต้องกลายมาเป็นแบบนี้,你甚至都不會明白。但就像你用心做某件事讓我變成這樣
175,19,ได้มองเห็นบางอย่างที่ไม่เคยเห็น และได้รู้สึกแบบที่ไม่เคยเป็น เพราะเธอ,看到了我從未見過的東西。因為你我感覺以前從未有過的感覺
175,36,มีคนคิดถึงเธอ แล้วเธอรู้สึกได้หรือเปล่า คนที่คิดถึงเธอ,有人想念你。你能感覺到嗎？一個想念你的人
176,19,คนนี้ ไม่ได้คลั่งรัก แต่ฉันว่าฉันนั้นคลั่งไคล้เธอ,這個人並不為愛情瘋狂。但我想我為你瘋狂了。
177,19,แต่ฉันว่าฉันนั้นคลั่งไคล้เธอ เธอเชื่อไหมนี่เป็นอะไรที่ฉันไม่เคยพบเจอ เรื่องที่ฉันนั้นยังไม่เคยได้เข้าใจ,但我想我為你瘋狂了。你能相信這是我從未遇過的事嗎？那些我一直不懂的事
178,19,รักแล้วทำไมไม่ค่อยเป็นตัวเองแบบนั้น ออกจะไม่เข้าใจด้วยซ้ำไป แต่เหมือนว่าเธอนั้นทำบางอย่างกับหัวใจ,如果你愛它，你自己為什麼不呢？你甚至都不會明白。但就像你在用心做某件事
179,19,อิจฉาใครที่เขารักกัน รักแล้วทำไมไม่ค่อยเป็นตัวเองแบบนั้น ออกจะไม่เข้าใจด้วยซ้ำไป,嫉妒他所愛的人。如果你愛它，你自己為什麼不呢？你甚至都不會明白。
180,19,ออกจะไม่เข้าใจด้วยซ้ำไป แต่เหมือนว่าเธอนั้นทำบางอย่างกับหัวใจ ทำให้ฉันต้องกลายมาเป็นแบบนี้,你甚至都不會明白。但就像你用心做某件事讓我變成這樣
181,19,รักแล้วทำไมไม่ค่อยเป็นตัวเองแบบนั้น ออกจะไม่เข้าใจด้วยซ้ำไป แต่เหมือนว่าเธอนั้นทำบางอย่างกับหัวใจ,如果你愛它，你自己為什麼不呢？你甚至都不會明白。但就像你在用心做某件事
182,19,you ฟังเพลงรักก็คิดว่าเป็น ของเธอ,你聽一首情歌並認為這是你的
183,19,ของเธอ คิดถึงเธอไม่ไหวตอนที่เราไม่เจอ เผลอยิ้มคนเดียว,當我們見不到對方時，我會忍不住想念你。不小心一個人笑了
184,19,คิดถึงเธอไม่ไหวตอนที่เราไม่เจอ เผลอยิ้มคนเดียว หัวเราะคนเดียว,當我們見不到對方時，我會情不自禁地想起你。不小心一個人笑了 一個人笑
185,19,อิจฉาใครที่เขารักกัน รักแล้วทำไมไม่ค่อยเป็นตัวเองแบบนั้น ออกจะไม่เข้าใจด้วยซ้ำไป,嫉妒他所愛的人。如果你愛它，你自己為什麼不呢？你甚至都不會明白。
186,20,กลุ่มนักวิทยาศาสตร์อ้างว่าพวกเขาค้นพบเฉดสีใหม่ที่ไม่มีมนุษย์คนไหนเคยมองเห็นมาก่อน,一群科學家聲稱他們發現了人類以前從未見過的新顏色。
187,20,กลุ่มนักวิทยาศาสตร์อ้างว่าพวกเขาค้นพบเฉดสีใหม่ที่ไม่มีมนุษย์คนไหนเคยมองเห็นมาก่อน,一群科學家聲稱他們發現了人類以前從未見過的新顏色。
188,20,กลุ่มนักวิทยาศาสตร์อ้างว่าพวกเขาค้นพบเฉดสีใหม่ที่ไม่มีมนุษย์คนไหนเคยมองเห็นมาก่อน,一群科學家聲稱他們發現了人類以前從未見過的新顏色。
189,20,กลุ่มนักวิทยาศาสตร์อ้างว่าพวกเขาค้นพบเฉดสีใหม่ที่ไม่มีมนุษย์คนไหนเคยมองเห็นมาก่อน,一群科學家聲稱他們發現了人類以前從未見過的新顏色。
190,20,กลุ่มนักวิทยาศาสตร์อ้างว่าพวกเขาค้นพบเฉดสีใหม่ที่ไม่มีมนุษย์คนไหนเคยมองเห็นมาก่อน จากการทดลองที่นักวิจัยในสหรัฐฯ,一群科學家聲稱他們發現了人類以前從未見過的新顏色。來自美國研究人員的一項實驗
191,20,ยิงเลเซอร์พัลส์เข้าไปในดวงตา,向眼睛發射雷射脈衝。
192,20,กระตุ้นเซลล์เฉพาะในจอประสาทตา ผู้เข้าร่วมการทดลองอ้างว่าได้เห็นสีน้ำเงินอมเขียว,刺激視網膜中的特定細胞 受試者聲稱看到了藍綠色。
193,20,ยิงเลเซอร์พัลส์เข้าไปในดวงตา กระตุ้นเซลล์เฉพาะในจอประสาทตา ผู้เข้าร่วมการทดลองอ้างว่าได้เห็นสีน้ำเงินอมเขียว,向眼睛發射雷射脈衝。刺激視網膜中的特定細胞 受試者聲稱看到了藍綠色。
194,20,กระตุ้นเซลล์เฉพาะในจอประสาทตา ผู้เข้าร่วมการทดลองอ้างว่าได้เห็นสีน้ำเงินอมเขียว ซึ่งเรียกว่า,刺激視網膜中的特定細胞 受試者聲稱看到了藍綠色，這被稱為「藍綠色著色」。
195,20,อย่างไรก็ตาม ผู้เชี่ยวชาญบางคนกล่าวว่าการมีอยู่ของสีใหม่นี้ยังคงเป็นเรื่องที่ต้องถกเถียงกัน,然而，一些專家表示，這種新顏色是否存在仍有爭議。
196,20,อย่างไรก็ตาม ผู้เชี่ยวชาญบางคนกล่าวว่าการมีอยู่ของสีใหม่นี้ยังคงเป็นเรื่องที่ต้องถกเถียงกัน,然而，一些專家表示，這種新顏色是否存在仍有爭議。
197,20,จากการทดลองที่นักวิจัยในสหรัฐฯ ยิงเลเซอร์พัลส์เข้าไปในดวงตา,來自美國研究人員向眼睛發射雷射脈衝的實驗。
198,20,ผลการวิจัยตีพิมพ์ในวารสาร Science,研究結果發表在《科學》期刊。
199,20,ซึ่งเรียกการค้นพบนี้ว่าน่าทึ่ง และเชื่อว่าผลลัพธ์อาจนำไปใช้ในการวิจัยเกี่ยวกับอาการตาบอดสีได้.,這項發現堪稱非凡。並相信該結果可用於色盲研究。
226,23,ลอยหลุดไป เธอฆ่าคนด้วยสายตา เพียงแค่เธอนั้นมองมา,她飄然而去，用眼神殺人。只有你看著我
227,23,ลอยหลุดไป เธอฆ่าคนด้วยสายตา เพียงแค่เธอนั้นมองมา,她飄然而去，用眼神殺人。只有你看著我
228,23,เพียงแค่เธอนั้นมองมา ไม่ปลอดภัย แม้อยู่ไกล,即使你距離很遠，光是看著你也是不安全的。
229,23,เหมือนว่าโดน ดึงดูดไป หากใครเข้าไปใกล้นาน,如果有人長時間靠近你，你就會被吸引。
230,23,ก็ยากที่จะต้านทาน อดใจไม่ไหว แค่อยากจะรู้จัก,很難抗拒，無法抗拒，只是想認識你。
231,23,ก็เธอดันน่ารักซะสาแก่ใจ เธอมาทำให้ละลาย โดนสาปให้ตายแล้วตายอีก,嗯，她真的很可愛。她來融化詛咒，死而復生。
232,23,เธอมาทำให้ละลาย โดนสาปให้ตายแล้วตายอีก อย่าได้คิดที่จะหลีก,她來融化詛咒，死而復生。甚至不要考慮避免它。
233,23,โดนสาปให้ตายแล้วตายอีก อย่าได้คิดที่จะหลีก,被詛咒死了又死了。甚至不要考慮避免它。
234,23,อย่าได้คิดที่จะหลีก ต้องโดนสะกดให้ยิ้ม ยังคงมองภาพที่เธอนั่งอยู่โต๊ะริม,甚至不要考慮避免它。一定是催眠了才能讓你微笑還在看著她坐在桌邊的照片
235,23,ยังคงมองภาพที่เธอนั่งอยู่โต๊ะริม ใจฉันปริ่ม เธอเชือดฉันได้นิ่มๆ,依然看著她坐在桌邊的照片，心裡滿滿的。她輕輕地切我。
236,23,ใจฉันปริ่ม เธอเชือดฉันได้นิ่มๆ ด้วยรอยยิ้มเธอ,我的心充滿了。你輕輕地割傷了我。帶著你的微笑
237,23,ที่ฉันต้องตื่น และฉันก็ฝืนหัวใจตัวเองไม่ไหว เธออยู่ตรงนั้น,我必須醒來 我無法抗拒我的心。她在那兒
238,23,เธออยู่ตรงนั้น อยากเพียงแค่ชิดใกล้ ห้ามใจเท่าไหร่ไม่ได้,她就在那兒，我只是想靠近。不管怎樣我都無法抗拒。
239,23,อยากเพียงแค่ชิดใกล้ ห้ามใจเท่าไหร่ไม่ได้ สักที,我只是想靠近一點。無論怎樣我都無法阻止自己。
323,30,ซึ่งหมายถึงพื้นที่สำหรับผู้ชายในการแลกเปลี่ยนความคิดและมุมมองที่เกี่ยวข้องกับเพศชายในสังคมสมัยใหม่ โดยเฉพาะอย่างยิ่งในยุคที่มีการพูดถึงความเท่าเทียมทางเพศอย่างเข้มข้น,它意味著現代社會中男性交流有關男性性別的想法和觀點的空間。尤其是在一個熱議性別平等的時代。
324,30,มีสมาชิกที่เชื่อว่า 'ตื่นรู้' หรือมีความเข้าใจที่แตกต่างจากคนส่วนใหญ่,有些成員認為自己已經“覺醒”，或有與大多數人不同的理解。
327,30,นอกจากนี้ บางคนยังเชื่อในบทบาททางเพศแบบดั้งเดิมและมีอคติต่อคำว่าความเท่าเทียมทางเพศ ซึ่งเหล่านี้ล้วนเป็นอุปสรรคที่ทำให้เกิดความเกลียดชังต่อผู้หญิง,此外，有些人仍然相信傳統的性別角色，並對性別平等一詞有偏見。這些都是造成對女性的仇恨的障礙。
328,30,บางคนยังเชื่อในบทบาททางเพศแบบดั้งเดิมและมีอคติต่อคำว่าความเท่าเทียมทางเพศ ซึ่งเหล่านี้ล้วนเป็นอุปสรรคที่ทำให้เกิดความเกลียดชังต่อผู้หญิง,有些人仍然相信傳統的性別角色，並對性別平等一詞有偏見。這些都是造成對女性的仇恨的障礙。
329,30,ในกรณีที่รุนแรงมากขึ้น บางคนอาจแสดงพฤติกรรมรุนแรง,在更嚴重的情況下，有些人可能會表現出暴力行為。
330,30,ความเรียกร้องความเท่าเทียมทางเพศนั้นไม่ได้หมายถึงการเกลียดชังผู้ชาย แต่เป็นการเรียกร้องสิทธิเสรีภาพที่เท่าเทียมกันสำหรับทุกคน,要求性別平等並不意味著憎恨男性。但這是對每個人平等自由和權利的要求。
331,30,ที่ส่งผลกระทบต่อผู้ชายเองเช่นกัน การที่ผู้ชายต้องเผชิญกับความคาดหวังว่าเขาต้องเป็นอัลฟ่าหรือมีความสำเร็จสูงนั้น ส่งผลให้พวกเขารู้สึกเครียดและกดดัน,這也會影響男性。男性面臨這樣的期望：他們必須是佼佼者或高成就者。結果，他們感到壓力和沮喪。
332,30,สุดท้ายนี้ ความเกลียดชังไม่ว่าจะเป็นต่อสิ่งใดก็ไม่เป็นผลดีต่อสุขภาพจิตเลย หากปล่อยให้ความเกลียดนั้นกัดกินตัวเองหรือไปทำร้ายผู้อื่น,最終，對任何事物的仇恨都不利於您的心理健康。如果你讓仇恨吞噬你或傷害他人，
399,36,จำได้ไหมดอกไม้ดอกนั้นที่ฉันปลูกมันกับเธอ เมื่อวันที่เราอยู่ข้างกัน,你還記得我和你一起種下的那朵花嗎？我們在一起的那天
400,36,เมื่อเราต้องไกลกัน ฝันฉันก็ซ้ำๆ ทุกวันมีเพียง,當我們相距遙遠時，我的夢每天都會重複。
401,36,กี่ราตรีที่เลยผ่าน แต่ละคืนช่างยาวนาน ทุกนาทีมันนาน,已經過去多少個夜晚了？每個夜晚都很漫長 每分鐘都很漫長
402,36,ภาพเธอในนั้น ได้แค่รอและรอวันที่ดอกไม้จะบานอีกครั้ง มีคนคิดถึงเธอ,裡面有你的照片，我只能等待，等待花再次綻放的那一天。有人想念你。
403,36,ฉันยังทำแบบเดิมในทุกวัน แต่มันไม่เห็นมีความสุข เมื่อเราต้องไกลกัน,我仍然每天都做同樣的事情。但看起來並不高興。當我們不得不分開時
404,36,จำได้ไหมดอกไม้ดอกนั้นที่ฉันปลูกมันกับเธอ เมื่อวันที่เราอยู่ข้างกัน ฉันดูแลอยู่อย่างดีในทุกวัน,你還記得我和你一起種下的那朵花嗎？我們在一起的那天，我每天都在照顧你。
405,36,ภาพเธอในนั้น ได้แค่รอและรอวันที่ดอกไม้จะบานอีกครั้ง มีคนคิดถึงเธอ,裡面有你的照片，我只能等待，等待花再次綻放的那一天。有人想念你。
406,36,กี่ราตรีที่เลยผ่าน แต่ละคืนช่างยาวนาน ทุกนาทีมันนาน,已經過去多少個夜晚了？每個夜晚都很漫長 每分鐘都很漫長
407,36,จำได้ไหมดอกไม้ดอกนั้นที่ฉันปลูกมันกับเธอ เมื่อวันที่เราอยู่ข้างกัน ฉันดูแลอยู่อย่างดีในทุกวัน,你還記得我和你一起種下的那朵花嗎？我們在一起的那天，我每天都在照顧你。
408,36,ดอกไม้ที่รอฝน ก็เหมือนคนทางนี้ที่รอเธอ Wake,花兒等雨，就像這裡的人在等你醒來。
409,36,อยู่ที่ไหน ก็แค่ในบางเวลาที่ฉันได้กลิ่นดอกไม้ สมองมันยังเข้าใจว่าเธอยืนอยู่ทางซ้าย,無論我身在何處，只是偶爾聞到花香。他的大腦仍然明白她站在左邊。
410,36,ทุกวันมีเพียง ภาพเธอในนั้น ได้แค่รอและรอวันที่ดอกไม้จะบานอีกครั้ง,每天裡只有你的一張照片，我只能等待，等待花再次綻放的那一天。
417,38,OpenAI บริษัทปัญญาประดิษฐ์ (AI),OpenAI，一家人工智慧（AI）公司
418,38,OpenAI บริษัทปัญญาประดิษฐ์ (AI),OpenAI，一家人工智慧（AI）公司
419,38,‘ต้นแบบภายใน’ ที่เน้นการแชร์ภาพที่สร้างจาก AI,專注於共享人工智慧生成圖像的“內部原型”
420,38,สามารถเข้าถึง ‘ข้อมูลเรียลไทม์’ จำนวนมหาศาลจากผู้ใช้งาน,可以存取用戶的大量“即時數據”
421,38,Platform) ของตัวเองในรูปแบบที่คล้ายคลึงกับแพลตฟอร์ม X,Platform) 格式類似於X平台
422,38,OpenAI วางแผนจะเปิดตัวโซเชียลเน็ตเวิร์กนี้เป็นแอปพลิเคชันแยกต่างหาก หรือจะผนวกรวมเข้าเป็นส่วนหนึ่งของแอป,OpenAI 計劃將這個社交網路作為一個單獨的應用程式推出。或者它會被集成為應用程式的一部分嗎？
423,38,ที่มีอยู่เดิม. แรงผลักดันสำคัญในการพัฒนาครั้งนี้ มาจากความนิยมอย่างถล่มทลายของฟีเจอร์สร้างภาพด้วย,那本來就存在。這項發展的主要動力也來自於圖像創作功能的壓倒性流行。
424,38,นอกจากนี้เมื่อเดือนกุมภาพันธ์ที่ผ่านมา กลุ่มนักลงทุนที่นำโดย Elon,此外，去年 2 月，以 Elon 為首的投資者團體
425,38,สามารถเข้าถึง ‘ข้อมูลเรียลไทม์’ จำนวนมหาศาลจากผู้ใช้งาน,可以存取用戶的大量“即時數據”
